period_s,freq_hz,near_from_deg,near_width_deg,off_from_deg,gain,diff_off_from_deg,diff_gain,friction,diff_friction,status,blocker,exit_depth_m,path_km
40.000,0.0250,179.31,0.5,211.58,39.70446,211.58,42.54014,0.79238,0.79238,grid edge,,1221.1,59.23
40.000,0.0250,179.81,0.5,221.64,39.70446,221.64,41.82327,0.78787,0.78787,deep,,1298.3,53.55
40.000,0.0250,180.31,0.5,228.86,39.70446,228.86,45.95171,0.78735,0.78735,grid edge,,920.9,52.01
40.000,0.0250,180.81,0.5,216.38,39.70446,216.38,45.76604,0.78725,0.78725,deep,,1254.5,57.69
40.000,0.0250,181.31,0.5,216.19,39.70446,216.19,57.57773,0.78693,0.78693,deep,,1287.7,56.39
40.000,0.0250,181.81,0.5,224.97,39.70446,224.97,36.06471,0.78745,0.78745,grid edge,,917.4,52.33
40.000,0.0250,182.31,0.5,261.75,39.70446,261.75,41.65083,0.78764,0.78764,grid edge,,1164.7,45.91
40.000,0.0250,182.81,0.5,252.30,39.70446,252.30,40.47237,0.78766,0.78766,grid edge,,1175.3,44.57
40.000,0.0250,183.31,0.5,199.63,39.70446,199.63,36.85200,0.78366,0.78366,deep,,1282.6,58.52
40.000,0.0250,183.81,0.5,78.40,0,78.40,0,0.49020,0.49020,land,Coronado shore or shoal,-0.1,60.02
40.000,0.0250,184.31,0.5,355.72,39.70446,355.72,38.88822,0.76943,0.76943,grid edge,,764.8,65.85
40.000,0.0250,184.81,0.5,358.07,0,355.72,5.22542,0.51530,0.76943,land,Point Loma peninsula,0.3,52.51
40.000,0.0250,185.31,0.5,24.91,0,24.91,0,0.64740,0.64740,land,Coronado Islands (South group),-3.0,41.31
40.000,0.0250,185.81,0.5,308.22,39.70446,308.22,45.18548,0.77417,0.77417,grid edge,,1159.1,50.21
40.000,0.0250,186.31,0.5,194.98,39.70446,194.98,36.02880,0.74728,0.74728,grid edge,,933.6,54.29
40.000,0.0250,186.81,0.5,285.56,39.70446,285.56,33.96574,0.74438,0.74438,grid edge,,1198.7,55.89
40.000,0.0250,187.31,0.5,98.56,0,285.56,7.63101,0.63328,0.74438,land,Baja peninsula,-1.0,41.68
40.000,0.0250,187.81,0.5,297.45,39.70446,297.45,39.82333,0.76952,0.76952,grid edge,,1194.2,47.84
40.000,0.0250,188.31,0.5,193.05,39.70446,193.05,32.61028,0.73722,0.73722,grid edge,,1156.9,54.50
40.000,0.0250,188.81,0.5,345.51,39.70446,345.51,37.05036,0.75621,0.75621,grid edge,,832.8,68.47
40.000,0.0250,189.31,0.5,239.51,39.70446,239.51,36.87036,0.73558,0.73558,deep,,1312.9,58.81
40.000,0.0250,189.81,0.5,211.34,39.70446,211.34,35.26046,0.73578,0.73578,deep,,1335.0,57.22
40.000,0.0250,190.31,0.5,217.44,39.70446,217.44,61.35555,0.76388,0.76388,deep,,1334.5,54.90
40.000,0.0250,190.81,0.5,253.68,39.70446,253.68,28.82688,0.73278,0.73278,grid edge,,1105.2,55.98
40.000,0.0250,191.31,0.5,79.96,0,253.68,8.40186,0.63039,0.73278,land,Baja peninsula,-0.1,37.49
40.000,0.0250,191.81,0.5,182.78,39.70446,182.78,38.65939,0.73311,0.73311,deep,,1356.7,53.65
40.000,0.0250,192.31,0.5,169.94,39.70446,169.94,14.93149,0.74010,0.74010,deep,,1313.2,53.75
40.000,0.0250,192.81,0.5,297.12,39.70446,297.12,25.16633,0.69784,0.69784,grid edge,,1242.8,77.71
40.000,0.0250,193.31,0.5,289.55,0,289.55,0,0.67641,0.67641,land,Coronado Islands (South group),-7.9,39.09
40.000,0.0250,193.81,0.5,59.13,0,297.12,5.29183,0.60411,0.69784,land,Baja peninsula,-0.7,37.93
40.000,0.0250,194.31,0.5,74.86,0,74.86,0,0.56495,0.56495,land,Coronado shore or shoal,0.2,60.39
40.000,0.0250,194.81,0.5,86.77,0,297.12,0.38627,0.31246,0.69784,land,Baja peninsula,0.2,43.21
40.000,0.0250,195.31,0.5,192.63,0,192.63,0,0.60967,0.60967,land,Coronado Islands (South group),-7.6,37.16
40.000,0.0250,195.81,0.5,188.05,0,292.27,3.28233,0.42073,0.71646,land,Baja peninsula,-2.5,39.26
40.000,0.0250,196.31,0.5,89.12,0,89.12,0,0.61927,0.61927,land,Coronado Islands (South group),-3.7,37.02
40.000,0.0250,196.81,0.5,292.27,39.70446,292.27,42.85736,0.71646,0.71646,grid edge,,1239.9,72.90
40.000,0.0250,197.31,0.5,239.35,39.70446,239.35,53.88031,0.75475,0.75475,grid edge,,876.2,47.83
40.000,0.0250,197.81,0.5,182.42,39.70446,182.42,38.89651,0.75594,0.75594,grid edge,,878.9,55.82
40.000,0.0250,198.31,0.5,66.00,0,66.00,0,0.60664,0.60664,land,Coronado shore or shoal,-0.5,49.92
40.000,0.0250,198.81,0.5,207.96,39.70446,207.96,29.41404,0.75424,0.75424,deep,,1406.9,59.11
40.000,0.0250,199.31,0.5,275.09,39.70446,275.09,40.41300,0.75128,0.75128,grid edge,,1167.5,38.82
40.000,0.0250,199.81,0.5,178.35,39.70446,178.35,34.76107,0.75263,0.75263,grid edge,,894.6,58.40
40.000,0.0250,200.31,0.5,33.42,0,178.35,0.38423,0.43965,0.75263,land,Baja peninsula,-1.5,48.63
40.000,0.0250,200.81,0.5,260.36,39.70446,260.36,47.51815,0.74536,0.74536,grid edge,,1167.8,38.64
40.000,0.0250,201.31,0.5,109.88,39.70446,109.88,33.35603,0.65811,0.65811,grid edge,,68.7,55.53
40.000,0.0250,201.81,0.5,258.84,39.70446,258.84,48.14185,0.73905,0.73905,grid edge,,1203.3,38.78
40.000,0.0250,202.31,0.5,64.93,0,64.93,0,0.54196,0.54196,land,Coronado shore or shoal,0.1,49.34
40.000,0.0250,202.81,0.5,84.42,0,258.84,0.39158,0.30646,0.73905,land,Baja peninsula,-0.3,43.22
40.000,0.0250,203.31,0.5,141.98,0,261.48,0.39715,0.42034,0.73761,land,Baja peninsula,-1.0,45.03
40.000,0.0250,203.81,0.5,261.48,39.70446,261.48,53.89512,0.73761,0.73761,grid edge,,1199.9,38.58
40.000,0.0250,204.31,0.5,90.36,0,90.36,0,0.53099,0.53099,land,Coronado shore or shoal,-1.7,48.40
40.000,0.0250,204.81,0.5,109.48,0,109.48,0,0.29315,0.29315,land,Coronado shore or shoal,-1.9,39.90
40.000,0.0250,205.31,0.5,61.56,0,61.56,0,0.51116,0.51116,land,Coronado shore or shoal,-0.5,49.29
40.000,0.0250,205.81,0.5,189.97,39.70446,189.97,45.02570,0.73845,0.73845,deep,,1456.9,57.54
40.000,0.0250,206.31,0.5,191.31,39.70446,191.31,56.12735,0.73753,0.73753,deep,,1474.6,57.20
40.000,0.0250,206.81,0.5,35.01,0,191.31,0.07306,0.26739,0.73753,land,Baja peninsula,-0.2,59.63
40.000,0.0250,207.31,0.5,195.13,39.70446,195.13,68.56975,0.73728,0.73728,deep,,1435.5,56.64
40.000,0.0250,207.81,0.5,193.24,39.70446,193.24,40.12416,0.73736,0.73736,deep,,1417.3,57.29
40.000,0.0250,208.31,0.5,296.22,0,193.24,5.74654,0.55204,0.73736,land,Baja peninsula,-5.0,30.10
40.000,0.0250,208.81,0.5,160.49,39.70446,160.49,34.12439,0.66142,0.66142,grid edge,,290.4,52.64
40.000,0.0250,209.31,0.5,169.53,39.70446,169.53,33.50493,0.65754,0.65754,grid edge,,63.3,52.45
40.000,0.0250,209.81,0.5,238.88,39.70446,238.88,44.43412,0.73276,0.73276,grid edge,,1135.5,42.67
40.000,0.0250,210.31,0.5,70.56,0,238.88,6.81123,0.55144,0.73276,land,Point Loma peninsula,0.3,6.24
40.000,0.0250,210.81,0.5,275.13,39.70446,275.13,54.50462,0.73201,0.73201,grid edge,,1162.3,38.00
40.000,0.0250,211.31,0.5,54.39,0,275.13,9.64410,0.50854,0.73201,land,Point Loma peninsula,-0.5,5.70
40.000,0.0250,211.81,0.5,94.52,0,94.52,0,0.53145,0.53145,land,Coronado shore or shoal,0.1,16.44
40.000,0.0250,212.31,0.5,83.85,0,83.85,0,0.53924,0.53924,land,Coronado shore or shoal,0.0,14.29
40.000,0.0250,212.81,0.5,100.90,0,275.13,8.68776,0.49693,0.73201,land,Point Loma peninsula,-1.8,5.81
40.000,0.0250,213.31,0.5,15.78,0,275.13,7.78294,0.58486,0.73201,land,Point Loma peninsula,-0.1,5.10
40.000,0.0250,213.81,0.5,338.20,0,275.13,7.55720,0.58534,0.73201,land,Point Loma peninsula,-3.7,5.10
40.000,0.0250,214.31,0.5,83.48,0,83.48,0,0.57876,0.57876,land,Coronado shore or shoal,0.3,14.08
40.000,0.0250,214.81,0.5,100.16,0,100.16,0,0.46010,0.46010,land,Coronado shore or shoal,-2.8,26.17
40.000,0.0250,215.31,0.5,44.69,0,275.13,9.28447,0.51024,0.73201,land,Point Loma peninsula,-0.2,5.72
40.000,0.0250,215.81,0.5,42.04,0,275.13,9.27655,0.56675,0.73201,land,Point Loma peninsula,0.1,5.75
40.000,0.0250,216.31,0.5,297.64,0,275.13,9.42465,0.72380,0.73201,land,Point Loma peninsula,-0.6,4.62
40.000,0.0250,216.81,0.5,287.54,0,275.13,9.35721,0.73015,0.73201,land,Point Loma peninsula,-0.4,4.62
